,Archipelago,Island1,Island2,beta_sor,beta_sim,beta_sne,mean_emerse_pres,mean_emerse_past,mean_island_age,Distance_km,diff_emerse_pres,diff_emerse_past,diff_island_age,d_past.y,diif_present_air,diff_past_air
361,Cook_Islands,Aitutaki,Takutea,0.457627119,0,0.457627119,34.81,59.605,9.67,189.6,3.2,22.83,17.66,187.5845137,0.51241095,0.04515152
362,Cook_Islands,Atiu,Mangaia,0.272727273,0.225806452,0.046920821,42.435,64.605,12.895,215.11,12.05,12.83,11.01,213.3834773,1.14553425,0.153237724
363,Cook_Islands,Atiu,Mauke,0.636363636,0.111111111,0.525252525,32.37,59.675,6.015,82.86,8.08,22.69,2.75,80.59046203,0.00890411,0.006006432
364,Cook_Islands,Atiu,Mitiaro,0.346153846,0,0.346153846,24.045,66.205,9.845,45.02,24.73,9.63,4.91,41.17739382,0.00890411,0.058553124
365,Cook_Islands,Atiu,Nassau,0.50877193,0.363636364,0.145135566,20.2,53.67,12.945,1216.44,32.42,34.7,11.11,1212.816562,2.58449315,0.0046101
366,Cook_Islands,Atiu,Rarotonga,0.364485981,0.028571429,0.335914553,56.22,78.015,4.245,221.5,39.62,13.99,6.29,219.8673285,0.51857535,0.180057144
367,Cook_Islands,Atiu,Takutea,0.411764706,0.0625,0.349264706,36.41,71.02,12.945,27.45,0,0,11.11,24.7494879,0,0.020476151
368,Cook_Islands,Mangaia,Mauke,0.65,0.222222222,0.427777778,38.395,53.26,11.52,207.78,20.13,9.86,13.76,206.4844514,1.13663014,0.159244156
369,Cook_Islands,Mangaia,Mitiaro,0.416666667,0.176470588,0.240196078,30.07,59.79,15.35,229.32,36.78,3.2,6.1,226.4513832,1.13663014,0.211790848
370,Cook_Islands,Mangaia,Nassau,0.509433962,0.409090909,0.100343053,26.225,47.255,18.45,1399.22,44.47,21.87,0.1,1396.570552,3.7300274,0.148627624
371,Cook_Islands,Mangaia,Rarotonga,0.45631068,0.096774194,0.359536486,62.245,71.6,9.75,206.93,27.57,26.82,17.3,206.2713178,0.6269589,0.02681942
