,Archipelago1,Archipelago2,beta_sor,beta_sim,beta_sne,mean_isolation,mean_reef_area,mean_past_isolation,mean_age,mean_past_reef_area,diff_isolation,diff_reef_area,diff_past_isolation,diff_age,diff_past_reef_area,diff_sst,diff_past_sst,Distance,Group1,Group2
114,Fiji,Sao_Tome_Principe_and_Annobon,0.262967194,1.86E-06,0.262965332,1622.774173,1210.96596,241.3515939,29.5,32.1428566,1672.559156,2421.93192,450.0160455,3,2.57142639,0.19,5.77613,17.938,Across_Oceans,Pacific-Atlantic
115,Fiji,Seychelles,0.050954168,0.004997049,0.045957119,795.5439929,1541.418987,51.64250188,81.5,24.64285612,18.0987964,1761.025867,70.59786142,107,17.57142734,0.82,0.1495,13.352,Across_Oceans,Pacific-Indian
116,Fiji,Virgin_Islands,0.27322136,9.70E-05,0.27312437,729.8360709,1412.177233,126.7905444,69,23.28571367,113.3170476,2019.509375,220.8939464,82,20.28571224,0.73,1.9491,13.316,Across_Oceans,Pacific-Atlantic
117,French_Polynesia,Galapagos,0.124952666,0.009042198,0.115910468,966.3622594,69.0067475,374.5333864,22.555,1.5,453.6611813,109.617893,301.8812137,38.49,3,3.95,1.72908,6.645,Within_Oceans,Pacific
118,French_Polynesia,Hawaii,0.031195206,0.025051911,0.006143295,889.0720294,195.0557615,306.6079445,33.4,3.214285732,299.0807213,361.715921,166.0303299,16.8,0.428571463,1.93,1.15946,4.438,Within_Regions,Central_Pacific
119,French_Polynesia,Islas_Revillagigedo,0.218609413,0.010042848,0.208566565,747.6501093,10.1649005,215.0500427,25.9,1.928571433,16.2368812,8.065801,17.0854737,31.8,2.142857134,2.82,2.91139,5.751,Within_Oceans,Pacific
120,French_Polynesia,Juan_Fernandez_Islands,0.319141842,0.005465337,0.313676505,966.3622594,69.0067475,374.5333864,21.6,1.5,453.6611813,109.617893,301.8812137,40.4,3,10.25,7.09585,7.178,Within_Oceans,Pacific
121,French_Polynesia,Maldives,0.051494263,0.051408588,8.57E-05,871.4875119,914.7531355,122.9529507,22.9,18.0714283,263.9116863,1801.110669,201.2796577,37.8,30.1428566,1.48,0.85378,15.079,Across_Oceans,Pacific-Indian
122,French_Polynesia,Maluku_Islands,0.077570323,0.04102453,0.036545793,693.8935666,439.5168215,112.352094,22.6,33.2142849,91.2762043,850.638041,222.4813709,38.4,60.42856979,1.6,1.37874,8.965,Within_Oceans,Pacific
123,French_Polynesia,Marianas_Islands,0.037987725,0.00166428,0.036323445,824.120063,32.0696815,135.6920398,35.9,2.428571403,169.1767886,35.743761,175.8014793,11.8,1.142857194,1.19,2.02211,7.988,Within_Oceans,Pacific
124,French_Polynesia,Sao_Tome_Principe_and_Annobon,0.212527055,0.000158856,0.212368199,1599.29271,7.0989005,344.9761981,36.4,16.9285717,1719.522082,14.197801,242.7668372,10.8,27.8571434,0.26,4.48457,16.79,Across_Oceans,Pacific-Atlantic
125,French_Polynesia,Seychelles,0.063443153,0.056474726,0.006968427,772.0625299,337.551927,155.267106,88.4,9.428571225,65.0617224,646.708252,136.6513469,93.2,12.85714245,0.37,1.14206,16.336,Across_Oceans,Pacific-Indian
126,French_Polynesia,Virgin_Islands,0.227217101,0.005612003,0.221605097,706.3546079,208.310173,230.4151486,75.9,8.071428775,66.3541216,388.224744,13.6447381,68.2,10.14285755,0.28,0.65754,10.08,Across_Oceans,Pacific-Atlantic
127,Galapagos,Hawaii,0.137240378,0.02979111,0.107449268,1115.90262,249.864708,457.5485513,14.155,1.714285732,154.58046,252.098028,135.8508838,21.69,3.428571463,2.02,2.88854,7.643,Within_Oceans,Pacific
128,Galapagos,Islas_Revillagigedo,0.114826249,0.020736603,0.094089646,974.4807,64.973847,365.9906495,6.655,0.428571433,437.4243001,117.683694,318.9666874,6.69,0.857142866,1.13,1.18231,3.226,Within_Regions,Eastern_Tropical
129,Galapagos,Juan_Fernandez_Islands,0.233210427,0.034229819,0.198980608,1193.19285,123.815694,525.4739932,2.355,0,0,0,0,1.91,0,6.3,5.36677,3.86,Within_Regions,Eastern_Tropical
130,Galapagos,Maldives,0.13482619,0.020124736,0.114701454,1098.318103,969.562082,273.8935575,3.655,16.5714283,189.749495,1691.492776,503.1608714,0.69,33.1428566,5.43,2.58286,18.339,Across_Oceans,Pacific-Indian
131,Galapagos,Maluku_Islands,0.176155132,0.025739982,0.15041515,920.7241572,494.325768,263.2927009,3.355,31.7142849,544.9373856,741.020148,524.3625846,0.09,63.42856979,5.55,3.10782,15.507,Within_Oceans,Pacific
132,Galapagos,Marianas_Islands,0.160385533,0.009067985,0.151317548,1050.950654,86.878628,286.6326467,16.655,0.928571403,284.4843927,73.874132,477.682693,26.69,1.857142806,5.14,3.75119,13.651,Within_Oceans,Pacific
